Time_s,RawTarget_deg,Reference_deg,ReferenceRate_rad_s,ReferenceAccel_rad_s2,ActualFFOn_deg,ActualRateFFOn_rad_s,CurrentFFOn_count,ErrorFFOn_deg,ActualFFOff_deg,ActualRateFFOff_rad_s,CurrentFFOff_count,ErrorFFOff_deg
2.56,-6.47812500000001,-6.37294653446634,-0.355336361680005,50,-6.3267805589261,-0.370758717188464,-5347.94047936899,-0.046165975540239,-6.78128386449474,-0.519409401120356,-5822.2502838969,0.408337330028388
2.561,-6.418125,-6.38987404356885,-0.305336361808003,50,-6.3465974990583,-0.320982988766627,-5373.38354127721,-0.043276544510554,-6.80948625134903,-0.465039613936768,-5833.31236986629,0.419612207780184
2.562,-6.358125,-6.40680155267135,-0.255336361936001,50,-6.36355800449429,-0.271050336554288,-5374.76380236621,-0.0432435481770687,-6.83457297758331,-0.410652328732396,-5820.71259455284,0.427771424911968
2.563,-6.298125,-6.41999885900979,-0.205336362063999,50,-6.37765943313713,-0.22118238155086,-5383.76574043329,-0.0423394258726429,-6.85654927774584,-0.356465261752975,-5816.12883286307,0.436550418736049
2.564,-6.238125,-6.42946596258415,-0.155336362191997,50,-6.38890348021736,-0.17130890404747,-5399.22097425275,-0.0405624823667965,-6.87542450190011,-0.302404355334917,-5818.38556064186,0.445958539315965
2.565,-6.17812499999999,-6.43893306615852,-0.105336362319995,50,-6.39728812872984,-0.121370542283071,-5392.13928301703,-0.0416449374286814,-6.89120407002835,-0.248406481426243,-5798.48498568736,0.45227100386984
2.566,-6.11812500000001,-6.44171690949034,-0.0553363622416082,50,-6.40281560380657,-0.0715747365387754,-5416.15114898904,-0.0389013056837751,-6.9038974306201,-0.194675389511708,-5810.04968645793,0.462180521129753
2.567,-6.05812499999999,-6.44372362953815,-0.00533636213919147,50,-6.40548587193961,-0.0216352051264411,-5422.14486214667,-0.038237757598531,-6.91351156430493,-0.140921185542552,-5803.95979925966,0.46978793476677
2.568,-5.99812499999999,-6.44355439797358,0.0446636379408104,50,-6.40529545351171,0.0282820621732543,-5423.37752542485,-0.0382589444618756,-6.92004980093946,-0.0873063275517723,-5793.4640942824,0.476495402965875
2.569,-5.938125,-6.43810071249325,0.0946636379663975,50,-6.40224687799902,0.0781332982107944,-5443.91812987663,-0.0358538344942298,-6.92352127947252,-0.0338711330766689,-5802.62311133711,0.485420566979267
2.57,-5.87812500000002,-6.43264702701292,0.144663637991985,50,-6.39633883696984,0.128096238393433,-5441.13379670517,-0.0363081900430829,-6.92393110567742,0.0195654998039014,-5788.7954535862,0.491284078664489
2.571,-5.81812499999998,-6.42206434298416,0.194663637912016,50,-6.38757108274246,0.177956120153611,-5457.10261004627,-0.0344932602416893,-6.92128525558493,0.0727920914521984,-5794.05066430914,0.499220912600768
2.572,-5.758125,-6.40915029597885,0.244663637784003,50,-6.37594457296301,0.227885632179798,-5467.94478196706,-0.0332057230158266,-6.91559072485249,0.125984529822092,-5794.5004291882,0.50644042887364
